week,team,opponent,home_or_away
1,ARI,NO,Away
1,ATL,TB,Home
1,BAL,BUF,Away
1,BUF,BAL,Home
1,CAR,JAX,Away
1,CHI,MIN,Home
1,CIN,CLE,Away
1,CLE,CIN,Home
1,DAL,PHI,Away
1,DEN,TEN,Home
1,DET,GB,Away
1,GB,DET,Home
1,HOU,LAR,Away
1,IND,MIA,Home
1,JAX,CAR,Home
1,KC,LAC,Away
1,LAC,KC,Home
1,LAR,HOU,Home
1,LV,NE,Away
1,MIA,IND,Away
1,MIN,CHI,Away
1,NE,LV,Home
1,NO,ARI,Home
1,NYG,WSH,Away
1,NYJ,PIT,Home
1,PHI,DAL,Home
1,PIT,NYJ,Away
1,SEA,SF,Home
1,SF,SEA,Away
1,TB,ATL,Away
1,TEAM,1,Home
1,TEN,DEN,Away
1,WSH,NYG,Home
2,ARI,CAR,Home
2,ATL,MIN,Away
2,BAL,CLE,Home
2,BUF,NYJ,Away
2,CAR,ARI,Away
2,CHI,DET,Away
2,CIN,JAX,Home
2,CLE,BAL,Away
2,DAL,NYG,Home
2,DEN,IND,Away
2,DET,CHI,Home
2,GB,WSH,Home
2,HOU,TB,Home
2,IND,DEN,Home
2,JAX,CIN,Away
2,KC,PHI,Home
2,LAC,LV,Away
2,LAR,TEN,Away
2,LV,LAC,Home
2,MIA,NE,Home
2,MIN,ATL,Home
2,NE,MIA,Away
2,NO,SF,Home
2,NYG,DAL,Away
2,NYJ,BUF,Home
2,PHI,KC,Away
2,PIT,SEA,Home
2,SEA,PIT,Away
2,SF,NO,Away
2,TB,HOU,Away
2,TEAM,2,Home
2,TEN,LAR,Home
2,WSH,GB,Away
3,ARI,SF,Away
3,ATL,CAR,Away
3,BAL,DET,Home
3,BUF,MIA,Home
3,CAR,ATL,Home
3,CHI,DAL,Home
3,CIN,MIN,Away
3,CLE,GB,Home
3,DAL,CHI,Away
3,DEN,LAC,Away
3,DET,BAL,Away
3,GB,CLE,Away
3,HOU,JAX,Away
3,IND,TEN,Away
3,JAX,HOU,Home
3,KC,NYG,Away
3,LAC,DEN,Home
3,LAR,PHI,Away
3,LV,WSH,Away
3,MIA,BUF,Away
3,MIN,CIN,Home
3,NE,PIT,Home
3,NO,SEA,Away
3,NYG,KC,Home
3,NYJ,TB,Away
3,PHI,LAR,Home
3,PIT,NE,Away
3,SEA,NO,Home
3,SF,ARI,Home
3,TB,NYJ,Home
3,TEAM,3,Home
3,TEN,IND,Home
3,WSH,LV,Home
4,ARI,SEA,Home
4,ATL,WSH,Home
4,BAL,KC,Away
4,BUF,NO,Home
4,CAR,NE,Away
4,CHI,LV,Away
4,CIN,DEN,Away
4,CLE,DET,Away
4,DAL,GB,Home
4,DEN,CIN,Home
4,DET,CLE,Home
4,GB,DAL,Away
4,HOU,TEN,Home
4,IND,LAR,Away
4,JAX,SF,Away
4,KC,BAL,Home
4,LAC,NYG,Away
4,LAR,IND,Home
4,LV,CHI,Home
4,MIA,NYJ,Home
4,MIN,PIT,Away
4,NE,CAR,Home
4,NO,BUF,Away
4,NYG,LAC,Home
4,NYJ,MIA,Away
4,PHI,TB,Away
4,PIT,MIN,Home
4,SEA,ARI,Away
4,SF,JAX,Home
4,TB,PHI,Home
4,TEAM,4,Home
4,TEN,HOU,Away
4,WSH,ATL,Away
5,ARI,TEN,Home
5,ATL,BYE,Home
5,BAL,HOU,Home
5,BUF,NE,Home
5,CAR,MIA,Home
5,CHI,BYE,Home
5,CIN,DET,Home
5,CLE,MIN,Home
5,DAL,NYJ,Away
5,DEN,PHI,Away
5,DET,CIN,Away
5,GB,BYE,Home
5,HOU,BAL,Away
5,IND,LV,Home
5,JAX,KC,Home
5,KC,JAX,Away
5,LAC,WSH,Home
5,LAR,SF,Home
5,LV,IND,Away
5,MIA,CAR,Away
5,MIN,CLE,Away
5,NE,BUF,Away
5,NO,NYG,Home
5,NYG,NO,Away
5,NYJ,DAL,Home
5,PHI,DEN,Home
5,PIT,BYE,Home
5,SEA,TB,Home
5,SF,LAR,Away
5,TB,SEA,Away
5,TEAM,5,Home
5,TEN,ARI,Away
5,WSH,LAC,Away
6,ARI,IND,Away
6,ATL,BUF,Home
6,BAL,LAR,Home
6,BUF,ATL,Away
6,CAR,DAL,Home
6,CHI,WSH,Away
6,CIN,GB,Away
6,CLE,PIT,Away
6,DAL,CAR,Away
6,DEN,NYJ,Away
6,DET,KC,Away
6,GB,CIN,Home
6,HOU,BYE,Home
6,IND,ARI,Home
6,JAX,SEA,Home
6,KC,DET,Home
6,LAC,MIA,Away
6,LAR,BAL,Away
6,LV,TEN,Home
6,MIA,LAC,Home
6,MIN,BYE,Home
6,NE,NO,Away
6,NO,NE,Home
6,NYG,PHI,Home
6,NYJ,DEN,Home
6,PHI,NYG,Away
6,PIT,CLE,Home
6,SEA,JAX,Away
6,SF,TB,Away
6,TB,SF,Home
6,TEAM,6,Home
6,TEN,LV,Away
6,WSH,CHI,Home
7,ARI,GB,Home
7,ATL,SF,Away
7,BAL,BYE,Home
7,BUF,BYE,Home
7,CAR,NYJ,Away
7,CHI,NO,Home
7,CIN,PIT,Home
7,CLE,MIA,Home
7,DAL,WSH,Home
7,DEN,NYG,Home
7,DET,TB,Home
7,GB,ARI,Away
7,HOU,SEA,Away
7,IND,LAC,Away
7,JAX,LAR,Home
7,KC,LV,Home
7,LAC,IND,Home
7,LAR,JAX,Away
7,LV,KC,Away
7,MIA,CLE,Away
7,MIN,PHI,Home
7,NE,TEN,Away
7,NO,CHI,Away
7,NYG,DEN,Away
7,NYJ,CAR,Home
7,PHI,MIN,Away
7,PIT,CIN,Away
7,SEA,HOU,Home
7,SF,ATL,Home
7,TB,DET,Away
7,TEAM,7,Home
7,TEN,NE,Home
7,WSH,DAL,Away
8,ARI,BYE,Home
8,ATL,MIA,Home
8,BAL,CHI,Home
8,BUF,CAR,Away
8,CAR,BUF,Home
8,CHI,BAL,Away
8,CIN,NYJ,Home
8,CLE,NE,Away
8,DAL,DEN,Away
8,DEN,DAL,Home
8,DET,BYE,Home
8,GB,PIT,Away
8,HOU,SF,Home
8,IND,TEN,Home
8,JAX,BYE,Home
8,KC,WSH,Home
8,LAC,MIN,Home
8,LAR,BYE,Home
8,LV,BYE,Home
8,MIA,ATL,Away
8,MIN,LAC,Away
8,NE,CLE,Home
8,NO,TB,Home
8,NYG,PHI,Away
8,NYJ,CIN,Away
8,PHI,NYG,Home
8,PIT,GB,Home
8,SEA,BYE,Home
8,SF,HOU,Away
8,TB,NO,Away
8,TEAM,8,Home
8,TEN,IND,Away
8,WSH,KC,Away
9,ARI,DAL,Away
9,ATL,NE,Away
9,BAL,MIA,Away
9,BUF,KC,Home
9,CAR,GB,Away
9,CHI,CIN,Away
9,CIN,CHI,Home
9,CLE,BYE,Home
9,DAL,ARI,Home
9,DEN,HOU,Away
9,DET,MIN,Home
9,GB,CAR,Home
9,HOU,DEN,Home
9,IND,PIT,Away
9,JAX,LV,Away
9,KC,BUF,Away
9,LAC,TEN,Away
9,LAR,NO,Home
9,LV,JAX,Home
9,MIA,BAL,Home
9,MIN,DET,Away
9,NE,ATL,Home
9,NO,LAR,Away
9,NYG,SF,Home
9,NYJ,BYE,Home
9,PHI,BYE,Home
9,PIT,IND,Home
9,SEA,WSH,Away
9,SF,NYG,Away
9,TB,BYE,Home
9,TEAM,9,Home
9,TEN,LAC,Home
9,WSH,SEA,Home
10,ARI,SEA,Away
10,ATL,IND,Away
10,BAL,MIN,Away
10,BUF,MIA,Away
10,CAR,NO,Home
10,CHI,NYG,Home
10,CIN,BYE,Home
10,CLE,NYJ,Away
10,DAL,BYE,Home
10,DEN,LV,Home
10,DET,WSH,Away
10,GB,PHI,Home
10,HOU,JAX,Home
10,IND,ATL,Home
10,JAX,HOU,Away
10,KC,BYE,Home
10,LAC,PIT,Home
10,LAR,SF,Away
10,LV,DEN,Away
10,MIA,BUF,Home
10,MIN,BAL,Home
10,NE,TB,Away
10,NO,CAR,Away
10,NYG,CHI,Away
10,NYJ,CLE,Home
10,PHI,GB,Away
10,PIT,LAC,Away
10,SEA,ARI,Home
10,SF,LAR,Home
10,TB,NE,Home
10,TEAM,10,Home
10,TEN,BYE,Home
10,WSH,DET,Home
11,ARI,SF,Home
11,ATL,CAR,Home
11,BAL,CLE,Away
11,BUF,TB,Home
11,CAR,ATL,Away
11,CHI,MIN,Away
11,CIN,PIT,Away
11,CLE,BAL,Home
11,DAL,LV,Away
11,DEN,KC,Home
11,DET,PHI,Away
11,GB,NYG,Away
11,HOU,TEN,Away
11,IND,BYE,Home
11,JAX,LAC,Home
11,KC,DEN,Away
11,LAC,JAX,Away
11,LAR,SEA,Home
11,LV,DAL,Home
11,MIA,WSH,Home
11,MIN,CHI,Home
11,NE,NYJ,Home
11,NO,BYE,Home
11,NYG,GB,Home
11,NYJ,NE,Away
11,PHI,DET,Home
11,PIT,CIN,Home
11,SEA,LAR,Away
11,SF,ARI,Away
11,TB,BUF,Away
11,TEAM,11,Home
11,TEN,HOU,Home
11,WSH,MIA,Away
12,ARI,JAX,Home
12,ATL,NO,Away
12,BAL,NYJ,Home
12,BUF,HOU,Away
12,CAR,SF,Away
12,CHI,PIT,Home
12,CIN,NE,Home
12,CLE,LV,Away
12,DAL,PHI,Home
12,DEN,BYE,Home
12,DET,NYG,Home
12,GB,MIN,Home
12,HOU,BUF,Home
12,IND,KC,Away
12,JAX,ARI,Away
12,KC,IND,Home
12,LAC,BYE,Home
12,LAR,TB,Home
12,LV,CLE,Home
12,MIA,BYE,Home
12,MIN,GB,Away
12,NE,CIN,Away
12,NO,ATL,Home
12,NYG,DET,Away
12,NYJ,BAL,Away
12,PHI,DAL,Away
12,PIT,CHI,Away
12,SEA,TEN,Away
12,SF,CAR,Home
12,TB,LAR,Away
12,TEAM,12,Home
12,TEN,SEA,Home
12,WSH,BYE,Home
13,ARI,TB,Away
13,ATL,NYJ,Away
13,BAL,CIN,Home
13,BUF,PIT,Away
13,CAR,LAR,Home
13,CHI,PHI,Away
13,CIN,BAL,Away
13,CLE,SF,Home
13,DAL,KC,Home
13,DEN,WSH,Away
13,DET,GB,Home
13,GB,DET,Away
13,HOU,IND,Away
13,IND,HOU,Home
13,JAX,TEN,Away
13,KC,DAL,Away
13,LAC,LV,Home
13,LAR,CAR,Away
13,LV,LAC,Away
13,MIA,NO,Home
13,MIN,SEA,Away
13,NE,NYG,Home
13,NO,MIA,Away
13,NYG,NE,Away
13,NYJ,ATL,Home
13,PHI,CHI,Home
13,PIT,BUF,Home
13,SEA,MIN,Home
13,SF,CLE,Away
13,TB,ARI,Home
13,TEAM,13,Home
13,TEN,JAX,Home
13,WSH,DEN,Home
14,ARI,LAR,Home
14,ATL,SEA,Home
14,BAL,PIT,Home
14,BUF,CIN,Home
14,CAR,BYE,Home
14,CHI,GB,Away
14,CIN,BUF,Away
14,CLE,TEN,Home
14,DAL,DET,Away
14,DEN,LV,Away
14,DET,DAL,Home
14,GB,CHI,Home
14,HOU,KC,Away
14,IND,JAX,Away
14,JAX,IND,Home
14,KC,HOU,Home
14,LAC,PHI,Home
14,LAR,ARI,Away
14,LV,DEN,Home
14,MIA,NYJ,Away
14,MIN,WSH,Home
14,NE,BYE,Home
14,NO,TB,Away
14,NYG,BYE,Home
14,NYJ,MIA,Home
14,PHI,LAC,Away
14,PIT,BAL,Away
14,SEA,ATL,Away
14,SF,BYE,Home
14,TB,NO,Home
14,TEAM,14,Home
14,TEN,CLE,Away
14,WSH,MIN,Away
15,ARI,HOU,Away
15,ATL,TB,Away
15,BAL,CIN,Away
15,BUF,NE,Away
15,CAR,NO,Away
15,CHI,CLE,Home
15,CIN,BAL,Home
15,CLE,CHI,Away
15,DAL,MIN,Home
15,DEN,GB,Home
15,DET,LAR,Away
15,GB,DEN,Away
15,HOU,ARI,Home
15,IND,SEA,Away
15,JAX,NYJ,Home
15,KC,LAC,Home
15,LAC,KC,Away
15,LAR,DET,Home
15,LV,PHI,Away
15,MIA,PIT,Away
15,MIN,DAL,Away
15,NE,BUF,Home
15,NO,CAR,Home
15,NYG,WSH,Home
15,NYJ,JAX,Away
15,PHI,LV,Home
15,PIT,MIA,Home
15,SEA,IND,Home
15,SF,TEN,Home
15,TB,ATL,Home
15,TEAM,15,Home
15,TEN,SF,Away
15,WSH,NYG,Away
16,ARI,ATL,Home
16,ATL,ARI,Away
16,BAL,NE,Home
16,BUF,CLE,Away
16,CAR,TB,Home
16,CHI,GB,Home
16,CIN,MIA,Away
16,CLE,BUF,Home
16,DAL,LAC,Home
16,DEN,JAX,Home
16,DET,PIT,Home
16,GB,CHI,Away
16,HOU,LV,Home
16,IND,SF,Home
16,JAX,DEN,Away
16,KC,TEN,Away
16,LAC,DAL,Away
16,LAR,SEA,Away
16,LV,HOU,Away
16,MIA,CIN,Home
16,MIN,NYG,Away
16,NE,BAL,Away
16,NO,NYJ,Home
16,NYG,MIN,Home
16,NYJ,NO,Away
16,PHI,WSH,Away
16,PIT,DET,Away
16,SEA,LAR,Home
16,SF,IND,Away
16,TB,CAR,Away
16,TEAM,16,Home
16,TEN,KC,Home
16,WSH,PHI,Home
17,ARI,CIN,Away
17,ATL,LAR,Home
17,BAL,GB,Away
17,BUF,PHI,Home
17,CAR,SEA,Home
17,CHI,SF,Away
17,CIN,ARI,Home
17,CLE,PIT,Home
17,DAL,WSH,Away
17,DEN,KC,Away
17,DET,MIN,Away
17,GB,BAL,Home
17,HOU,LAC,Away
17,IND,JAX,Home
17,JAX,IND,Away
17,KC,DEN,Home
17,LAC,HOU,Home
17,LAR,ATL,Away
17,LV,NYG,Home
17,MIA,TB,Home
17,MIN,DET,Home
17,NE,NYJ,Away
17,NO,TEN,Away
17,NYG,LV,Away
17,NYJ,NE,Home
17,PHI,BUF,Away
17,PIT,CLE,Away
17,SEA,CAR,Away
17,SF,CHI,Home
17,TB,MIA,Away
17,TEAM,17,Home
17,TEN,NO,Home
17,WSH,DAL,Home
18,ARI,LAR,Away
18,ATL,NO,Home
18,BAL,PIT,Away
18,BUF,NYJ,Home
18,CAR,TB,Away
18,CHI,DET,Home
18,CIN,CLE,Home
18,CLE,CIN,Away
18,DAL,NYG,Away
18,DEN,LAC,Home
18,DET,CHI,Away
18,GB,MIN,Away
18,HOU,IND,Home
18,IND,HOU,Away
18,JAX,TEN,Home
18,KC,LV,Away
18,LAC,DEN,Away
18,LAR,ARI,Home
18,LV,KC,Home
18,MIA,NE,Away
18,MIN,GB,Home
18,NE,MIA,Home
18,NO,ATL,Away
18,NYG,DAL,Home
18,NYJ,BUF,Away
18,PHI,WSH,Home
18,PIT,BAL,Home
18,SEA,SF,Away
18,SF,SEA,Home
18,TB,CAR,Home
18,TEAM,18,Home
18,TEN,JAX,Away
18,WSH,PHI,Away
